iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
PNG,2005,16365,13603110
PRI,2005,54,29346
PRY,2005,57705,21096634
RWA,2005,14,9414
SEN,2005,0,43
SLB,2005,3843,3084848
SLE,2005,167,80063
SLV,2005,31,18307
SSD,2005,46,26485
SUR,2005,1808,1372928
SXM,2005,0,162
TCA,2005,5,852
TGO,2005,2,420
THA,2005,10678,6489232
TTO,2005,94,52617
TWN,2005,274,169200
TZA,2005,751,382528
UGA,2005,2899,1609440
UMI,2005,46,0
USA,2005,11,4644
VCT,2005,3,1708
VEN,2005,15565,8491388
VGB,2005,2,667
VIR,2005,0,118
VNM,2005,27779,16934735
VUT,2005,53,31908
ZAF,2005,522,290018
ZMB,2005,243,114403
ZWE,2005,27,15475
ABW,2006,0,25
AGO,2006,1401,722169
ARG,2006,24101,8931038
BDI,2006,6,3180
BEN,2006,0,24
BES,2006,2,20
BGD,2006,677,393529
BHS,2006,17,1006
BLZ,2006,1897,903567
BOL,2006,118804,62745910
BRA,2006,1415580,892119519
BRN,2006,442,349709
BTN,2006,256,165384
CAF,2006,5684,3790648
CHN,2006,4804,2725121
CIV,2006,16768,7239013
CMR,2006,14846,9222043
COD,2006,146457,98365281
COG,2006,11788,7314110
COL,2006,56051,33669677
CRI,2006,713,415880
CUB,2006,467,202778
CYM,2006,3,881
DMA,2006,5,2779
DOM,2006,535,236462
ECU,2006,6438,4450781
ETH,2006,2562,1537754
FJI,2006,168,94815
GAB,2006,10495,6450480
GHA,2006,3654,1597798
GIN,2006,235,121509
GLP,2006,3,1592
GNB,2006,49,14863
GNQ,2006,761,477714
GTM,2006,18337,8760239
GUF,2006,1944,1531944
GUY,2006,3744,2604282
HND,2006,14166,7831286
HTI,2006,22,11069
IDN,2006,468382,425844505
IND,2006,15125,8142861
JAM,2006,457,247488
KEN,2006,3340,1924630
KHM,2006,43256,26230639
KNA,2006,8,3782
LAO,2006,33978,19885367
LBR,2006,6005,2933060
LCA,2006,2,1023
LKA,2006,413,187086
MAF,2006,1,252
MDG,2006,12821,6858860
MDV,2006,0,0
MEX,2006,19398,8342843
MMR,2006,23066,13863577
MOZ,2006,279,130118
MSR,2006,4,2005
MTQ,2006,3,1930
MWI,2006,16,9559
MYS,2006,113080,97982618
NGA,2006,3458,1327064
NIC,2006,8820,5097398
NPL,2006,250,147501
PAN,2006,4571,2784646
PER,2006,58813,39483168
PHL,2006,7144,4826491
PLW,2006,17,14420
PNG,2006,24785,20820054
PRI,2006,82,45323
PRY,2006,27949,10144554
RWA,2006,39,25207
SEN,2006,0,55
SGP,2006,0,133
SLB,2006,2496,1997977
SLE,2006,787,375687
SLV,2006,48,27916
SSD,2006,47,27010
SUR,2006,1893,1481394
SXM,2006,0,21
TCA,2006,1,224
TGO,2006,0,64
THA,2006,9554,5737532
TTO,2006,121,69961
TWN,2006,309,196310
TZA,2006,739,349200
UGA,2006,2891,1483068
USA,2006,20,7113
VCT,2006,0,45
VEN,2006,14244,7993595
VGB,2006,1,486
VIR,2006,2,755
VNM,2006,20138,12668763
VUT,2006,68,37448
ZAF,2006,439,244126
ZMB,2006,277,132682
ZWE,2006,26,13949
AGO,2007,8060,4747048
ARG,2007,18688,6902739
AUS,2007,14,8130
BDI,2007,14,7991
BEN,2007,0,24
BES,2007,0,65
BGD,2007,370,214842
BHS,2007,9,1521
BLZ,2007,4123,1923887
BOL,2007,114376,60250081
BRA,2007,1149563,703941481
BRN,2007,639,515761
BTN,2007,186,127631
CAF,2007,8400,5420860
CHN,2007,7514,4162667
CIV,2007,17323,7789131
CMR,2007,18347,11575340
COD,2007,154991,106481248
COG,2007,13689,8326748
COL,2007,95539,58715841
CRI,2007,845,499675
CUB,2007,465,137428
CYM,2007,2,438
DMA,2007,8,4380
DOM,2007,956,411509
ECU,2007,6995,5006628
ETH,2007,5518,3570949
FJI,2007,127,73761
GAB,2007,10584,6519989
GHA,2007,3016,1387260
GIN,2007,1035,496287
GLP,2007,5,2575
GNB,2007,65,22247
GNQ,2007,1527,966484
GTM,2007,46827,22335834
GUF,2007,2421,1890831
GUY,2007,3346,2311139
HND,2007,12660,6982353
HTI,2007,39,20393
IDN,2007,525993,550653471
IND,2007,17208,9336152
JAM,2007,227,125807
KEN,2007,3440,2027687
KHM,2007,35533,21700375
KNA,2007,3,1361
LAO,2007,44922,26462415
LBR,2007,7640,3778085
LCA,2007,5,2611
LKA,2007,675,261035
MAF,2007,1,371
MDG,2007,45970,24927421
MDV,2007,1,25
MEX,2007,28987,13237012
MMR,2007,31292,19336303
MOZ,2007,180,84920
MSR,2007,0,83
MTQ,2007,10,4799
MWI,2007,10,5037
MYS,2007,142068,124157312
NGA,2007,2753,1062735
NIC,2007,36160,21367684
NPL,2007,268,171130
PAN,2007,3111,1890194
PER,2007,77992,51009302
PHL,2007,8753,5926776
PLW,2007,33,27525
PNG,2007,25053,21223827
PRI,2007,42,23983
PRY,2007,85752,31128918
RWA,2007,9,5443
SEN,2007,0,221
SGP,2007,0,73
SLB,2007,3016,2442323
SLE,2007,476,248613
SLV,2007,48,29693
SSD,2007,102,58364
SUR,2007,2158,1676469
SXM,2007,0,39
TCA,2007,16,2844
TGO,2007,5,1589
THA,2007,11325,6878915
TTO,2007,134,75857
TWN,2007,192,124699
TZA,2007,917,488698
UGA,2007,4044,2436115
USA,2007,38,16817
VCT,2007,1,680
VEN,2007,26116,14985825
VGB,2007,3,1216
VIR,2007,1,406
VNM,2007,22282,14073466
VUT,2007,27,15504
ZAF,2007,415,244374
ZMB,2007,538,256474
ZWE,2007,16,9658
AGO,2008,2699,1557662
ARG,2008,47052,17346182
AUS,2008,0,110
BDI,2008,18,10502
BGD,2008,241,133999
BHS,2008,4,533
BLZ,2008,3609,1703315
BOL,2008,180575,92596178
BRA,2008,1075146,681432846
BRN,2008,761,647989
BTN,2008,319,202918
CAF,2008,5293,3566591
CHN,2008,4076,2320322
CIV,2008,12553,5648733
CMR,2008,15038,9698494
COD,2008,121474,81820595
COG,2008,5893,3610056
COL,2008,83619,52336399
CRI,2008,1311,767274
CUB,2008,1205,674082
CYM,2008,1,366
DMA,2008,22,12947
DOM,2008,1558,691668
ECU,2008,8953,6615037
ETH,2008,3590,2242093
FJI,2008,122,69273
GAB,2008,9314,5872626
GHA,2008,2670,1181261
GIN,2008,541,254115
GLP,2008,5,2524
GNB,2008,69,22609
GNQ,2008,2313,1488519
GTM,2008,29728,14528324
GUF,2008,3724,2893807
GUY,2008,6377,4441844
HND,2008,14680,8166188
HTI,2008,42,21640
IDN,2008,469407,425524053
IND,2008,20702,11096481
JAM,2008,279,156512
KEN,2008,1887,1084577
KHM,2008,48734,31238781
KNA,2008,9,4715
LAO,2008,24927,14732824
LBR,2008,5891,2932251
LCA,2008,4,2298
LKA,2008,498,203024
MAF,2008,0,64
MDG,2008,23616,12889322
MDV,2008,1,27
MEX,2008,29568,12693716
MMR,2008,24124,14764659
MOZ,2008,327,149572
MSR,2008,3,1508
MTQ,2008,18,10384
MWI,2008,4,2445
MYS,2008,139246,121623492
NGA,2008,4090,1590135
NIC,2008,8021,4599538
NPL,2008,171,110994
PAN,2008,6855,4238224
PER,2008,88797,60615499
PHL,2008,5656,3884302
PLW,2008,30,25717
PNG,2008,33901,28359520
PRI,2008,68,35775
PRY,2008,53657,18074890
RWA,2008,27,17375
SEN,2008,1,292
SLB,2008,4826,3879645
SLE,2008,463,248133
SLV,2008,30,17213
SSD,2008,47,26034
SUR,2008,4431,3485332
SXM,2008,1,195
TCA,2008,15,2755
TGO,2008,0,19
THA,2008,7816,4801951
TTO,2008,139,81348
TWN,2008,253,153821
TZA,2008,1056,505489
UGA,2008,4297,2433346
USA,2008,33,15168
VCT,2008,1,574
VEN,2008,19859,10977359
VGB,2008,2,906
VNM,2008,34398,23154048
VUT,2008,48,28681
ZAF,2008,541,341080
ZMB,2008,305,147723
ZWE,2008,8,5085
ABW,2009,0,37
AGO,2009,5343,3143334
ARG,2009,20819,7332558
AUS,2009,1,256
BDI,2009,13,7565
BEN,2009,0,78
BES,2009,0,0
BGD,2009,558,315350
BHS,2009,7,1352
BLZ,2009,4405,2005906
BOL,2009,108163,57385254
BRA,2009,700169,462699344
BRN,2009,1242,968765
BTN,2009,454,293560
CAF,2009,8869,5700854
CHN,2009,7281,4101390
CIV,2009,14683,6869770
CMR,2009,19722,13189382
COD,2009,218277,150527749
COG,2009,7705,4680575
COL,2009,65824,40556410
CRI,2009,1998,1169022
CUB,2009,759,311147
CYM,2009,1,457
DMA,2009,17,9835
DOM,2009,789,345482
ECU,2009,8112,5733973
ETH,2009,3993,2408403
FJI,2009,102,58482
GAB,2009,11766,7419062
GHA,2009,3538,1623746
GIN,2009,379,217058
GLP,2009,6,2920
GNB,2009,138,44685
GNQ,2009,3137,1991882
GTM,2009,37529,18147536
GUF,2009,2089,1630527
GUY,2009,4929,3391063
HND,2009,22180,12452489
HTI,2009,24,12795
IDN,2009,683828,633661130
IND,2009,17112,9222334
JAM,2009,620,354312
KEN,2009,1596,885408
KHM,2009,65268,40646513
KNA,2009,6,3164
