"iso","umd_tree_cover_extent_2000__ha","area__ha"
"MLT",116.70431756518230928,32334.79077928859863270
"MMR",42863374.09366629598974118,66929667.32947848182257700
"MNE",616440.456206344536070675,1333523.258734561122192165
"MNG",4090464.886503575996715069,156624744.504994460933039401
"MOZ",28917947.26893703758331806,78729716.65135430223774290
"MRT",33.31622286066296336,104117150.64117224635466826
"MSR",4582.52725114229857412,10061.8220791477145615
"MTQ",74649.67904764368826608,111787.95517227380668738
"MUS",71304.81704856929872447,191366.76446960636677798
"MWI",1521821.68799237504410979,11802885.39490325603770647
"MYS",29430562.39760424964448331,32938348.75983479862374632
"MYT",33577.05042571991639653,39165.17965126948837384
"NAM",3835.35235433686046740,82385622.18475280669937563
"NCL",1440330.50387025265122183,1882559.40746863157445882
"NER",2.32870724518934513,118366970.16952212546444096
"NFK",0.0,4062.59887483270595
"NGA",10048731.32858049768383053,90840998.02039895365628209
"NIC",7776807.52116444206527944,12821978.47609534489953364
"NLD",593051.67528691484986683,3766566.36439894896425568
"NOR",11739521.784679581145127098,32512221.025825610063621982
"NPL",5161040.90247125372424994,14766249.54440857967388539
"NRU",0.0,2215.2335263393702
"NZL",11255742.600712331531797142,26716575.124388778757014030
"OMN",0.3597874400195312,30933274.08645123313678769
"PAK",978655.889162420222975215,87417630.59556747440463797
"PAN",5700499.75915412828726405,7510419.90445366498057720
"PER",78087222.68306204710994809,129281868.51759569885477667
"PHL",18599416.94134109451757664,29585658.16289545120659627
"PLW",41263.46520917825308749,48743.20538078792094545
"PNG",42921809.05075319484598906,46363061.21418283051487367
"POL",10439489.725115012528477804,31239917.800095586425064054
"PRI",523696.33607200539810440,897037.27464474032176581
"PRK",5196389.7142767721926838,12275519.138588647420513868
"PRT",2302481.424513362855369615,8955505.678182674006905460
"PRY",24296867.55250715862816944,39958667.52153241739324332
"PSE",614.76689884244836372,621996.68332008850490222
"QAT",0.0,1162493.79962663979302285
"REU",170474.525072916231661,251271.105014712057150
"ROU",7915161.125357497930288427,23833793.638779269294046235
"RUS",761226496.941585384999260204,1689455451.854770632445281986
"RWA",497885.77544611356397885,2527769.91218285993222540
"SAU",6.80771239235242846,191598433.63238639514131069
"SDN",72712.56006031936693012,187213491.71256676081305639
